"Date","Passage",
"2026-04-17","1 Sa 20; Ps 11, 59; 1 Sa 21"
"2026-04-18","1 Sa 22-24"
"2026-04-19","Ps 7, 27, 31, 34, 52, 56, 120, 140"
"2026-04-20","Ps 141-142; 1 Sa 25"
"2026-04-21","1 Sa 26-27; Ps 17, 35, 54, 63"
"2026-04-22","1 Sa 28-30"
"2026-04-23","1 Sa 31; Ps 18, 121, 123-125, 128-130"
"2026-04-24","2 Sa 1-3"
"2026-04-25","2 Sa 4; Ps 6, 8-10, 14"
"2026-04-26","Ps 16, 19, 21; 1 Chr 1-2"
"2026-04-27","Ps 43-45, 49, 84-85, 87"
"2026-04-28","1 Chr 3-5; Ps 73"
"2026-04-29","Ps 77-78"
"2026-04-30","1 Chr 6; Ps 81, 88, 92-93; 1 Chr 7"
"2026-05-01","1 Chr 8-10"
"2026-05-02","Ps 102-104; 2 Sa 5"
"2026-05-03","1 Chr 11-12; Ps 133"
"2026-05-04","Ps 106-107; 1 Chr 13-14"
"2026-05-05","1 Chr 15-16; Ps 1-2, 15, 22"
"2026-05-06","Ps 23-24, 47, 68, 89"
"2026-05-07","Ps 96, 100-101, 105, 132; 2 Sa 6"
"2026-05-08","2 Sa 7; 1 Chr 17; Ps 25, 29"
"2026-05-09","Ps 33, 36, 39; 2 Sa 8-9; 1 Chr 18"
"2026-05-10","Ps 50, 53, 60, 75; 2 Sa 10; 1 Chr 19"
"2026-05-11","Ps 20, 65-67, 69-70; 2 Sa 11"
"2026-05-12","2 Sa 12; 1 Chr 20; Ps 32, 51"
"2026-05-13","Ps 86, 122; 2 Sa 13-14"
"2026-05-14","2 Sa 15; Ps 3-4, 12-13"
"2026-05-15","Ps 28, 55; 2 Sa 16-17"
"2026-05-16","2 Sa 18; Ps 26, 40, 58, 61"
"2026-05-17","Ps 62, 64; 2 Sa 19"
"2026-05-18","2 Sa 20-21; Ps 5, 38"
"2026-05-19","Ps 41-42; 2 Sa 22-23"
"2026-05-20","Ps 57, 95, 97-99; 2 Sa 24"
"2026-05-21","1 Chr 21-22; Ps 30, 108-109"
"2026-05-22","Ps 110; 1 Chr 23-25; Ps 131, 138"
"2026-05-23","Ps 139, 143-145; 1 Chr 26"
"2026-05-24","1 Chr 27-29"
"2026-05-25","Ps 127, 111-118"
"2026-05-26","1 Kgs 1-2"
"2026-05-27","Ps 37, 71, 94"
"2026-05-28","Ps 119"
"2026-05-29","1 Kgs 3-4; 2 Chr 1"
"2026-05-30","Ps 72; Sos 1-5"
"2026-05-31","Sos 6-8; Pro 1-3"
"2026-06-01","Pro 4-7"
"2026-06-02","Pro 8-12"
"2026-06-03","Pro 13-16"
"2026-06-04","Pro 17-21"
"2026-06-05","Pro 22-24; 1 Kgs 5"
"2026-06-06","1 Kgs 6; 2 Chr 2-3"
"2026-06-07","1 Kgs 7; 2 Chr 4"
"2026-06-08","1 Kgs 8"
"2026-06-09","2 Chr 5-6"
"2026-06-10","2 Chr 7; Ps 136, 134, 146-150; 1 Kgs 9"
"2026-06-11","2 Chr 8; Pro 25-27"
"2026-06-12","Pro 28-29; Ecc 1-2"
"2026-06-13","Ecc 3-6"
"2026-06-14","Ecc 7-11"
"2026-06-15","Ecc 12; 1 Kgs 10-11"
"2026-06-16","2 Chr 9; Pro 30-31"
"2026-06-17","1 Kgs 12-13"
"2026-06-18","1 Kgs 14; 2 Chr 10-11"
"2026-06-19","2 Chr 12; 1 Kgs 15; 2 Chr 13"
"2026-06-20","2 Chr 14-16; 1 Kgs 16"
"2026-06-21","2 Chr 17; 1 Kgs 17-18"
"2026-06-22","1 Kgs 19-20"
"2026-06-23","1 Kgs 21"
"2026-06-24","1 Kgs 22; 2 Chr 18-19"
"2026-06-25","2 Chr 20-22"
"2026-06-26","2 Chr 23; Oba; Ps 82-83; 2 Kgs 1"
"2026-06-27","2 Kgs 2-3"
"2026-06-28","2 Kgs 4-5"
"2026-06-29","2 Kgs 6-7"
"2026-06-30","2 Kgs 8-9"
"2026-07-01","2 Kgs 10-12"
"2026-07-02","2 Kgs 13; 2 Chr 24"
"2026-07-03","2 Kgs 14; 2 Chr 25; Jon 1-2"
"2026-07-04","Jon 3-4; 2 Kgs 15; 2 Chr 26"
"2026-07-05","Isa 1-3"
"2026-07-06","Isa 4-7"
"2026-07-07","Isa 8; Amo 1-4"
"2026-07-08","Amo 5-8"
"2026-07-09","Amo 9; 2 Chr 27; Isa 9-10"
"2026-07-10","Isa 11-12; Mic 1-4"
"2026-07-11","Mic 5-7; 2 Chr 28"
"2026-07-12","2 Kgs 16-17"
"2026-07-13","Isa 13-16"
"2026-07-14","Isa 17-21"
"2026-07-15","Isa 22-26"
"2026-07-16","Isa 27; 2 Kgs 18"
"2026-07-17","2 Chr 29-31"
"2026-07-18","Ps 48; Hos 1-4"
"2026-07-19","Hos 5-10"
"2026-07-20","Hos 11-14; Isa 28"
"2026-07-21","Isa 29-31"
"2026-07-22","Isa 32-36"
"2026-07-23","Isa 37-39"
"2026-07-24","Ps 76; Isa 40-42"
"2026-07-25","Isa 43-44"
"2026-07-26","Isa 45-48"
"2026-07-27","2 Kgs 19; Ps 46, 80, 135"
"2026-07-28","Isa 49-52"
"2026-07-29","Isa 53-57"
"2026-07-30","Isa 58-61"
"2026-07-31","Isa 62-65"
"2026-08-01","Isa 66; 2 Kgs 20-21"
"2026-08-02","2 Chr 32-33; Nah 1"
"2026-08-03","Nah 2-3; 2 Kgs 22"
"2026-08-04","2 Kgs 23; 2 Chr 34"
"2026-08-05","2 Chr 35; Zep 1-2"
"2026-08-06","Zep 3; Jer 1-2"
"2026-08-07","Jer 3-5"
"2026-08-08","Jer 6-7"
"2026-08-09","Jer 8-10"
"2026-08-10","Jer 11-13"
"2026-08-11","Jer 14-16"
"2026-08-12","Jer 17-20"
"2026-08-13","Jer 21-23"
"2026-08-14","Jer 24-25"
"2026-08-15","Jer 26-28"
"2026-08-16","Jer 29-30"
"2026-08-17","Jer 31-32"
"2026-08-18","Jer 33-35"
"2026-08-19","Jer 36-37"
"2026-08-20","Jer 38-40"
"2026-08-21","Ps 74, 79; 2 Kgs 24-25"
"2026-08-22","2 Chr 36; Hab 1-3"
"2026-08-23","Jer 41-43"
"2026-08-24","Jer 44-47"
"2026-08-25","Jer 48-49"
"2026-08-26","Jer 50"
"2026-08-27","Jer 51-52"
"2026-08-28","Lam 1-2"
"2026-08-29","Lam 3-5"
"2026-08-30","Eze 1-4"
"2026-08-31","Eze 5-7"
"2026-09-01","Eze 8-11"
"2026-09-02","Eze 12-14"
"2026-09-03","Eze 15-16"
"2026-09-04","Eze 17-19"
"2026-09-05","Eze 20-21"
"2026-09-06","Eze 22-23"
"2026-09-07","Eze 24-26"
"2026-09-08","Eze 27-28"
"2026-09-09","Eze 29-31"
"2026-09-10","Eze 32-33"
"2026-09-11","Eze 34-36"
"2026-09-12","Eze 37-38"
"2026-09-13","Eze 39-40"
"2026-09-14","Eze 41-43"
"2026-09-15","Eze 44-45"
"2026-09-16","Eze 46-47"
"2026-09-17","Eze 48; Joe 1-2"
"2026-09-18","Joe 3; Dan 1-2"
"2026-09-19","Dan 3-4"
"2026-09-20","Dan 5-6"
"2026-09-21","Dan 7-8"
"2026-09-22","Dan 9-10"
"2026-09-23","Dan 11-12; Ezr 1"
"2026-09-24","Ezr 2-4"
"2026-09-25","Ezr 5-6; Ps 137; Hag 1"
"2026-09-26","Hag 2; Zec 1-5"
"2026-09-27","Zec 6-9"
"2026-09-28","Zec 10-14"
"2026-09-29","Est 1-3"
"2026-09-30","Est 4-8"
"2026-10-01","Est 9-10; Ezr 7"
"2026-10-02","Ezr 8-9"
"2026-10-03","Ezr 10; Neh 1-3"
"2026-10-04","Neh 4-6"
"2026-10-05","Neh 7-8"
"2026-10-06","Neh 9-10"
"2026-10-07","Neh 11-13"
"2026-10-08","Ps 126; Mal 1-4"
"2026-10-09","Luk 1; John 1"
"2026-10-10","Mat 1; Luk 2"
"2026-10-11","Mat 2-3; Mk 1"
"2026-10-12","Luk 3; Mat 4; Luk 4"
"2026-10-13","Luk 5; John 2-3"
"2026-10-14","John 4; Mat 8; Mk 2"
"2026-10-15","John 5; Mat 12"
"2026-10-16","Mk 3; Luk 6"
"2026-10-17","Mat 5-6"
"2026-10-18","Mat 7, 9; Luk 7"
"2026-10-19","Mat 11; Luk 11"
"2026-10-20","Mat 13; Luk 8"
"2026-10-21","Mk 4-5"
"2026-10-22","Mat 10, 14"
"2026-10-23","Mk 6; Luk 9"
"2026-10-24","John 6"
"2026-10-25","Mat 15; Mk 7; Mat 16"
"2026-10-26","Mk 8; Mat 17; Mk 9"
"2026-10-27","Mat 18; John 7"
"2026-10-28","John 8-9"
"2026-10-29","John 10; Luk 10"
"2026-10-30","Luk 12-13"
"2026-10-31","Luk 14-16"
"2026-11-01","Luk 17; John 11"
"2026-11-02","Luk 18; Mat 19; Mk 10"
"2026-11-03","Mat 20-21"
"2026-11-04","Luk 19; Mk 11"
"2026-11-05","John 12; Mat 22; Mk 12"
"2026-11-06","Mat 23; Luk 20"
"2026-11-07","Luk 21; Mk 13; Mat 24"
"2026-11-08","Mat 25"
"2026-11-09","Mat 26; Mk 14"
"2026-11-10","Luk 22"
"2026-11-11","John 13-15"
"2026-11-12","John 16-17; Mat 27"
"2026-11-13","Mk 15; Luk 23"
"2026-11-14","John 18-19"
"2026-11-15","Mat 28; Mk 16; Luk 24"
"2026-11-16","John 20-21; Acts 1"
"2026-11-17","Acts 2-4"
"2026-11-18","Acts 5-7"
"2026-11-19","Acts 8-9"
"2026-11-20","Acts 10-11"
"2026-11-21","Acts 12-13"
"2026-11-22","Acts 14; Jam 1-4"
"2026-11-23","Jam 5; Acts 15-16"
"2026-11-24","Gal 1-3"
"2026-11-25","Gal 4-6; Acts 17"
"2026-11-26","1 Th 1-5; 2 Th 1"
"2026-11-27","2 Th 2-3; Acts 18-19"
"2026-11-28","1 Co 1-4"
"2026-11-29","1 Co 5-8"
"2026-11-30","1 Co 9-11"
"2026-12-01","1 Co 12-14"
"2026-12-02","1 Co 15-16; 2 Co 1"
"2026-12-03","2 Co 2-6"
"2026-12-04","2 Co 7-11"
"2026-12-05","2 Co 12-13; Rom 1"
"2026-12-06","Rom 2-5"
"2026-12-07","Rom 6-8"
"2026-12-08","Rom 9-12"
"2026-12-09","Rom 13-16"
"2026-12-10","Acts 20-21"
"2026-12-11","Acts 22-24"
"2026-12-12","Acts 25-27"
"2026-12-13","Acts 28; Col 1"
"2026-12-14","Col 2-4; Phlm; Eph 1"
"2026-12-15","Eph 2-5"
"2026-12-16","Eph 6; Phil 1-3"
"2026-12-17","Phil 4; 1 Ti 1-4"
"2026-12-18","1 Ti 5-6; Tit 1-3; 1 Pe 1"
"2026-12-19","1 Pe 2-5"
"2026-12-20","Heb 1-6"
"2026-12-21","Heb 7-9"
"2026-12-22","Heb 10-12"
"2026-12-23","Heb 13; 2 Ti 1-4"
"2026-12-24","2 Pe 1-3; Jude"
"2026-12-25","1 Jn 1-4"
"2026-12-26","1 Jn 5; 2 Jn; 3 Jn; Rev 1-2"
"2026-12-27","Rev 3-6"
"2026-12-28","Rev 7-10"
"2026-12-29","Rev 11-15"
"2026-12-30","Rev 16-18"
"2026-12-31","Rev 19-22"
